url,title,description
https://www.work.ua/jobs/4255463/,Менеджер по работе с клиентами,"Приветствую, меня зовут Елена Петренко — со-основатель компании ПАН ТЕПЛО."
https://www.work.ua/jobs/4314802/,Мерчендайзер,"Компанія «ЗвениГора» Групи ''SAVENCIA fromage&dairy'', що спеціалізується на виробництві та продажі сирів відомих в усіх регіонах України («Добродар», Звенигородський «Екстра», «Фігура», «Голландський» та плавлених, кисломолочних сирів і вершкового масла)."
https://www.work.ua/jobs/4292805/,Менеджер по продажам,Группа Компаний Гамаюн приглашает на работу менеджера по продажам.
https://www.work.ua/jobs/4300751/,"Працівник складу, комірник, пакувальник",Pethouse — один з найбільших інтернет-зоомагазинів в Україні. Ось уже 11 років ми щиро та від усього серця допомагаємо людям піклуватися про їхніх домашніх улюбленців та продаємо високоякісні товари для домашніх тварин.
https://www.work.ua/jobs/4179576/,"Оператор call-центра, менеджер по продажам",Global Focus Group — динамически растущая компания Украины в сфере продаж — приглашает «Менеджера по продажам в Call-центр»!
https://www.work.ua/jobs/4007560/,"Продавець-консультант (ТРЦ Riviera, центр)",Пропонуємо Вам не прогаяти свій шанс стати частиною великої родини під назвою «Сирне королівство»! Вакансія Продавець-консультант / сомельє відкрита саме для Вас.
https://www.work.ua/jobs/4314699/,Інженер з охорони праці та пожежної безпеки у Бобровицю,Український Аграрний Холдинг — новітні світові технології і вікові традиції землеробства на родючій українській землі.
https://www.work.ua/jobs/4314668/,Менеджер работе с клиентами (металлопластиковые окна),МЕНЕДЖЕР ПО РАБОТЕ С КЛИЕНТАМИ в г. Киев
https://www.work.ua/jobs/3603328/,Грузчик-комплектовщик,Компания «SAVSERVICE» — национальный дистрибьютор продовольственной и непродовольственной группы товаров отечественных и мировых производителей.
https://www.work.ua/jobs/4176798/,Менеджер конструкторської документації,Компанія BORIKA вже більше 13 років є найбільшим українським виробником фурнітури і аксесуарів для плавзасобів!
https://www.work.ua/jobs/1179570/,Водитель со своим авто (служба такси),"У Вас есть автомобиль, а также свободное время днем или не спиться ночью.Вы хорошо ориентируетесь в городе сами или с помощью карты или навигатора.Тогда приглашаем Вас в нашу команду профессионалов."
https://www.work.ua/jobs/4314651/,Кухар,"МХП — провідний агроіндустріальний холдинг, лідер ринку у сегменті рослинництва та птахівництва в Україні. Наше бренд-портфоліо включає ТМ «Наша Ряба», ТМ «Легко», ТМ «Бащинський» та ряд інших. Компанія має виробничі потужності у 14-ти регіонах країни, об'єднує більше 28 тисяч співробітників та присутня на ринках 80-ти країн світу."
https://www.work.ua/jobs/4314581/,Хімік-розробник (ЗЗР),"Vitagro Partner входить до групи компаній VITAGRO Вітагро, що спеціалізується на виготовленні і дистрибуції засобів захисту рослин, мікродобрив, насіння, а також найновіших інокулянтів."
https://www.work.ua/jobs/4314641/,Кухар у Вишневе,"МХП — провідний агроіндустріальний холдинг, лідер ринку у сегменті рослинництва та птахівництва в Україні. Наше бренд-портфоліо включає ТМ «Наша Ряба», ТМ «Легко», ТМ «Бащинський» та ряд інших. Компанія має виробничі потужності у 14-ти регіонах країни, об'єднує більше 28 тисяч співробітників та присутня на ринках 80-ти країн світу."
